month_end,condition,demographics_type,demographics_values,rate_per_100000_visits
2025-12,Anxiety Disorders,RaceEthnicity,White,3026
2025-12,Anxiety Disorders,Sex,All,2384
2025-12,Anxiety Disorders,Sex,Female,2729
2025-12,Anxiety Disorders,Sex,Male,1959
2025-12,Anxiety Disorders,Total,All,2384
2025-11,Anxiety Disorders,Age,12-17 years,2167
2025-11,Anxiety Disorders,Age,18-34 years,2874
2025-11,Anxiety Disorders,Age,35-64 years,3125
2025-11,Anxiety Disorders,Age,65+ years,2761
2025-11,Anxiety Disorders,Age,All,2570
2025-11,Anxiety Disorders,RaceEthnicity,AI/AN,2832
2025-11,Anxiety Disorders,RaceEthnicity,All,2570
2025-11,Anxiety Disorders,RaceEthnicity,Asian,1577
2025-11,Anxiety Disorders,RaceEthnicity,Black,1664
2025-11,Anxiety Disorders,RaceEthnicity,Hispanic,2117
2025-11,Anxiety Disorders,RaceEthnicity,Multiple/Other,1926
2025-11,Anxiety Disorders,RaceEthnicity,NHOPI,1385
2025-11,Anxiety Disorders,RaceEthnicity,White,3196
2025-11,Anxiety Disorders,Sex,All,2570
2025-11,Anxiety Disorders,Sex,Female,2955
2025-11,Anxiety Disorders,Sex,Male,2095
2025-11,Anxiety Disorders,Total,All,2570
2025-10,Anxiety Disorders,Age,12-17 years,2192
2025-10,Anxiety Disorders,Age,18-34 years,2914
2025-10,Anxiety Disorders,Age,35-64 years,3122
2025-10,Anxiety Disorders,Age,65+ years,2774
2025-10,Anxiety Disorders,Age,All,2608
2025-10,Anxiety Disorders,RaceEthnicity,AI/AN,2834
2025-10,Anxiety Disorders,RaceEthnicity,All,2608
2025-10,Anxiety Disorders,RaceEthnicity,Asian,1577
2025-10,Anxiety Disorders,RaceEthnicity,Black,1658
2025-10,Anxiety Disorders,RaceEthnicity,Hispanic,2134
2025-10,Anxiety Disorders,RaceEthnicity,Multiple/Other,1915
2025-10,Anxiety Disorders,RaceEthnicity,NHOPI,1468
2025-10,Anxiety Disorders,RaceEthnicity,White,3234
2025-10,Anxiety Disorders,Sex,All,2608
2025-10,Anxiety Disorders,Sex,Female,3024
2025-10,Anxiety Disorders,Sex,Male,2096
2025-10,Anxiety Disorders,Total,All,2608
2025-09,Anxiety Disorders,Age,12-17 years,2136
2025-09,Anxiety Disorders,Age,18-34 years,2880
2025-09,Anxiety Disorders,Age,35-64 years,3067
2025-09,Anxiety Disorders,Age,65+ years,2773
2025-09,Anxiety Disorders,Age,All,2585
2025-09,Anxiety Disorders,RaceEthnicity,AI/AN,2665
2025-09,Anxiety Disorders,RaceEthnicity,All,2585
2025-09,Anxiety Disorders,RaceEthnicity,Asian,1562
2025-09,Anxiety Disorders,RaceEthnicity,Black,1612
2025-09,Anxiety Disorders,RaceEthnicity,Hispanic,2096
2025-09,Anxiety Disorders,RaceEthnicity,Multiple/Other,1934
2025-09,Anxiety Disorders,RaceEthnicity,NHOPI,1403
2025-09,Anxiety Disorders,RaceEthnicity,White,3179
2025-09,Anxiety Disorders,Sex,All,2585
2025-09,Anxiety Disorders,Sex,Female,3003
2025-09,Anxiety Disorders,Sex,Male,2072
2025-09,Anxiety Disorders,Total,All,2585
2025-08,Anxiety Disorders,Age,12-17 years,2190
2025-08,Anxiety Disorders,Age,18-34 years,2885
2025-08,Anxiety Disorders,Age,35-64 years,3060
2025-08,Anxiety Disorders,Age,65+ years,2734
2025-08,Anxiety Disorders,Age,All,2606
2025-08,Anxiety Disorders,RaceEthnicity,AI/AN,2769
2025-08,Anxiety Disorders,RaceEthnicity,All,2606
2025-08,Anxiety Disorders,RaceEthnicity,Asian,1594
2025-08,Anxiety Disorders,RaceEthnicity,Black,1643
2025-08,Anxiety Disorders,RaceEthnicity,Hispanic,2137
2025-08,Anxiety Disorders,RaceEthnicity,Multiple/Other,1926
2025-08,Anxiety Disorders,RaceEthnicity,NHOPI,1472
2025-08,Anxiety Disorders,RaceEthnicity,White,3179
2025-08,Anxiety Disorders,Sex,All,2606
2025-08,Anxiety Disorders,Sex,Female,3034
2025-08,Anxiety Disorders,Sex,Male,2087
2025-08,Anxiety Disorders,Total,All,2606
2025-07,Anxiety Disorders,Age,12-17 years,2352
2025-07,Anxiety Disorders,Age,18-34 years,2917
2025-07,Anxiety Disorders,Age,35-64 years,3085
2025-07,Anxiety Disorders,Age,65+ years,2723
2025-07,Anxiety Disorders,Age,All,2651
2025-07,Anxiety Disorders,RaceEthnicity,AI/AN,2868
2025-07,Anxiety Disorders,RaceEthnicity,All,2651
2025-07,Anxiety Disorders,RaceEthnicity,Asian,1551
2025-07,Anxiety Disorders,RaceEthnicity,Black,1718
2025-07,Anxiety Disorders,RaceEthnicity,Hispanic,2193
2025-07,Anxiety Disorders,RaceEthnicity,Multiple/Other,1947
2025-07,Anxiety Disorders,RaceEthnicity,NHOPI,1509
2025-07,Anxiety Disorders,RaceEthnicity,White,3202
2025-07,Anxiety Disorders,Sex,All,2651
2025-07,Anxiety Disorders,Sex,Female,3082
2025-07,Anxiety Disorders,Sex,Male,2131
2025-07,Anxiety Disorders,Total,All,2651
2025-06,Anxiety Disorders,Age,12-17 years,2270
2025-06,Anxiety Disorders,Age,18-34 years,2925
2025-06,Anxiety Disorders,Age,35-64 years,3074
2025-06,Anxiety Disorders,Age,65+ years,2711
2025-06,Anxiety Disorders,Age,All,2620
2025-06,Anxiety Disorders,RaceEthnicity,AI/AN,2879
2025-06,Anxiety Disorders,RaceEthnicity,All,2620
2025-06,Anxiety Disorders,RaceEthnicity,Asian,1534
2025-06,Anxiety Disorders,RaceEthnicity,Black,1685
2025-06,Anxiety Disorders,RaceEthnicity,Hispanic,2148
2025-06,Anxiety Disorders,RaceEthnicity,Multiple/Other,1928
2025-06,Anxiety Disorders,RaceEthnicity,NHOPI,1437
2025-06,Anxiety Disorders,RaceEthnicity,White,3181
2025-06,Anxiety Disorders,Sex,All,2620
2025-06,Anxiety Disorders,Sex,Female,3049
2025-06,Anxiety Disorders,Sex,Male,2104
2025-06,Anxiety Disorders,Total,All,2620
2025-05,Anxiety Disorders,Age,12-17 years,2198
2025-05,Anxiety Disorders,Age,18-34 years,2895
2025-05,Anxiety Disorders,Age,35-64 years,3060
2025-05,Anxiety Disorders,Age,65+ years,2696
2025-05,Anxiety Disorders,Age,All,2556
2025-05,Anxiety Disorders,RaceEthnicity,AI/AN,2759
2025-05,Anxiety Disorders,RaceEthnicity,All,2556
2025-05,Anxiety Disorders,RaceEthnicity,Asian,1568
2025-05,Anxiety Disorders,RaceEthnicity,Black,1626
2025-05,Anxiety Disorders,RaceEthnicity,Hispanic,2025
2025-05,Anxiety Disorders,RaceEthnicity,Multiple/Other,1855
2025-05,Anxiety Disorders,RaceEthnicity,NHOPI,1340
2025-05,Anxiety Disorders,RaceEthnicity,White,3164
2025-05,Anxiety Disorders,Sex,All,2556
2025-05,Anxiety Disorders,Sex,Female,2966
2025-05,Anxiety Disorders,Sex,Male,2059
2025-05,Anxiety Disorders,Total,All,2556
2025-04,Anxiety Disorders,Age,12-17 years,2245
