month_end,condition,demographics_type,demographics_values,rate_per_100000_visits
2022-05,Any Mental Health,RaceEthnicity,Hispanic,4114
2022-05,Any Mental Health,RaceEthnicity,Multiple/Other,4312
2022-05,Any Mental Health,RaceEthnicity,NHOPI,3835
2022-05,Any Mental Health,RaceEthnicity,White,6177
2022-05,Any Mental Health,Sex,All,5315
2022-05,Any Mental Health,Sex,Female,5527
2022-05,Any Mental Health,Sex,Male,5076
2022-05,Any Mental Health,Total,All,5315
2022-04,Any Mental Health,Age,12-17 years,8770
2022-04,Any Mental Health,Age,18-34 years,6867
2022-04,Any Mental Health,Age,35-64 years,6678
2022-04,Any Mental Health,Age,65+ years,4587
2022-04,Any Mental Health,Age,All,5598
2022-04,Any Mental Health,RaceEthnicity,AI/AN,6581
2022-04,Any Mental Health,RaceEthnicity,All,5598
2022-04,Any Mental Health,RaceEthnicity,Asian,3626
2022-04,Any Mental Health,RaceEthnicity,Black,4845
2022-04,Any Mental Health,RaceEthnicity,Hispanic,4290
2022-04,Any Mental Health,RaceEthnicity,Multiple/Other,4541
2022-04,Any Mental Health,RaceEthnicity,NHOPI,4063
2022-04,Any Mental Health,RaceEthnicity,White,6498
2022-04,Any Mental Health,Sex,All,5598
2022-04,Any Mental Health,Sex,Female,5828
2022-04,Any Mental Health,Sex,Male,5377
2022-04,Any Mental Health,Total,All,5598
2022-03,Any Mental Health,Age,12-17 years,9995
2022-03,Any Mental Health,Age,18-34 years,7214
2022-03,Any Mental Health,Age,35-64 years,6906
2022-03,Any Mental Health,Age,65+ years,4643
2022-03,Any Mental Health,Age,All,5884
2022-03,Any Mental Health,RaceEthnicity,AI/AN,7075
2022-03,Any Mental Health,RaceEthnicity,All,5884
2022-03,Any Mental Health,RaceEthnicity,Asian,3936
2022-03,Any Mental Health,RaceEthnicity,Black,5088
2022-03,Any Mental Health,RaceEthnicity,Hispanic,4622
2022-03,Any Mental Health,RaceEthnicity,Multiple/Other,4832
2022-03,Any Mental Health,RaceEthnicity,NHOPI,4591
2022-03,Any Mental Health,RaceEthnicity,White,6782
2022-03,Any Mental Health,Sex,All,5884
2022-03,Any Mental Health,Sex,Female,6098
2022-03,Any Mental Health,Sex,Male,5687
2022-03,Any Mental Health,Total,All,5884
2022-02,Any Mental Health,Age,12-17 years,10553
2022-02,Any Mental Health,Age,18-34 years,7514
2022-02,Any Mental Health,Age,35-64 years,7027
2022-02,Any Mental Health,Age,65+ years,4706
2022-02,Any Mental Health,Age,All,6096
2022-02,Any Mental Health,RaceEthnicity,AI/AN,7401
2022-02,Any Mental Health,RaceEthnicity,All,6096
2022-02,Any Mental Health,RaceEthnicity,Asian,3925
2022-02,Any Mental Health,RaceEthnicity,Black,5338
2022-02,Any Mental Health,RaceEthnicity,Hispanic,4880
2022-02,Any Mental Health,RaceEthnicity,Multiple/Other,5011
2022-02,Any Mental Health,RaceEthnicity,NHOPI,4447
2022-02,Any Mental Health,RaceEthnicity,White,6922
2022-02,Any Mental Health,Sex,All,6096
2022-02,Any Mental Health,Sex,Female,6353
2022-02,Any Mental Health,Sex,Male,5858
2022-02,Any Mental Health,Total,All,6096
2022-01,Any Mental Health,Age,12-17 years,8029
2022-01,Any Mental Health,Age,18-34 years,6104
2022-01,Any Mental Health,Age,35-64 years,6090
2022-01,Any Mental Health,Age,65+ years,4458
2022-01,Any Mental Health,Age,All,5234
2022-01,Any Mental Health,RaceEthnicity,AI/AN,6413
2022-01,Any Mental Health,RaceEthnicity,All,5234
2022-01,Any Mental Health,RaceEthnicity,Asian,3296
2022-01,Any Mental Health,RaceEthnicity,Black,4393
2022-01,Any Mental Health,RaceEthnicity,Hispanic,4135
2022-01,Any Mental Health,RaceEthnicity,Multiple/Other,4137
2022-01,Any Mental Health,RaceEthnicity,NHOPI,3417
2022-01,Any Mental Health,RaceEthnicity,White,6082
2022-01,Any Mental Health,Sex,All,5234
2022-01,Any Mental Health,Sex,Female,5383
2022-01,Any Mental Health,Sex,Male,5115
2022-01,Any Mental Health,Total,All,5234
2021-12,Any Mental Health,Age,12-17 years,7907
2021-12,Any Mental Health,Age,18-34 years,5752
2021-12,Any Mental Health,Age,35-64 years,5914
2021-12,Any Mental Health,Age,65+ years,4339
2021-12,Any Mental Health,Age,All,4942
2021-12,Any Mental Health,RaceEthnicity,AI/AN,6478
2021-12,Any Mental Health,RaceEthnicity,All,4942
2021-12,Any Mental Health,RaceEthnicity,Asian,3170
2021-12,Any Mental Health,RaceEthnicity,Black,3988
2021-12,Any Mental Health,RaceEthnicity,Hispanic,3981
2021-12,Any Mental Health,RaceEthnicity,Multiple/Other,3786
2021-12,Any Mental Health,RaceEthnicity,NHOPI,3652
2021-12,Any Mental Health,RaceEthnicity,White,5848
2021-12,Any Mental Health,Sex,All,4942
2021-12,Any Mental Health,Sex,Female,5109
2021-12,Any Mental Health,Sex,Male,4824
2021-12,Any Mental Health,Total,All,4942
2021-11,Any Mental Health,Age,12-17 years,9055
2021-11,Any Mental Health,Age,18-34 years,6635
2021-11,Any Mental Health,Age,35-64 years,6450
2021-11,Any Mental Health,Age,65+ years,4505
2021-11,Any Mental Health,Age,All,5433
2021-11,Any Mental Health,RaceEthnicity,AI/AN,6821
2021-11,Any Mental Health,RaceEthnicity,All,5433
2021-11,Any Mental Health,RaceEthnicity,Asian,3617
2021-11,Any Mental Health,RaceEthnicity,Black,4622
2021-11,Any Mental Health,RaceEthnicity,Hispanic,4446
2021-11,Any Mental Health,RaceEthnicity,Multiple/Other,4323
2021-11,Any Mental Health,RaceEthnicity,NHOPI,3839
2021-11,Any Mental Health,RaceEthnicity,White,6233
2021-11,Any Mental Health,Sex,All,5433
2021-11,Any Mental Health,Sex,Female,5709
2021-11,Any Mental Health,Sex,Male,5201
2021-11,Any Mental Health,Total,All,5433
2021-10,Any Mental Health,Age,12-17 years,8660
2021-10,Any Mental Health,Age,18-34 years,6892
2021-10,Any Mental Health,Age,35-64 years,6685
2021-10,Any Mental Health,Age,65+ years,4614
2021-10,Any Mental Health,Age,All,5629
2021-10,Any Mental Health,RaceEthnicity,AI/AN,7144
2021-10,Any Mental Health,RaceEthnicity,All,5629
2021-10,Any Mental Health,RaceEthnicity,Asian,3777
2021-10,Any Mental Health,RaceEthnicity,Black,4792
2021-10,Any Mental Health,RaceEthnicity,Hispanic,4641
2021-10,Any Mental Health,RaceEthnicity,Multiple/Other,4451
2021-10,Any Mental Health,RaceEthnicity,NHOPI,4173
2021-10,Any Mental Health,RaceEthnicity,White,6462
2021-10,Any Mental Health,Sex,All,5629
2021-10,Any Mental Health,Sex,Female,5969
2021-10,Any Mental Health,Sex,Male,5326
2021-10,Any Mental Health,Total,All,5629
2021-09,Any Mental Health,Age,12-17 years,7511
2021-09,Any Mental Health,Age,18-34 years,6591
2021-09,Any Mental Health,Age,35-64 years,6530
2021-09,Any Mental Health,Age,65+ years,4639
2021-09,Any Mental Health,Age,All,5453
2021-09,Any Mental Health,RaceEthnicity,AI/AN,6672
2021-09,Any Mental Health,RaceEthnicity,All,5453
2021-09,Any Mental Health,RaceEthnicity,Asian,3530
2021-09,Any Mental Health,RaceEthnicity,Black,4517
2021-09,Any Mental Health,RaceEthnicity,Hispanic,4441
2021-09,Any Mental Health,RaceEthnicity,Multiple/Other,4210
2021-09,Any Mental Health,RaceEthnicity,NHOPI,4030
2021-09,Any Mental Health,RaceEthnicity,White,6352
2021-09,Any Mental Health,Sex,All,5453
2021-09,Any Mental Health,Sex,Female,5826
2021-09,Any Mental Health,Sex,Male,5116
2021-09,Any Mental Health,Total,All,5453
2021-08,Any Mental Health,Age,12-17 years,6303
2021-08,Any Mental Health,Age,18-34 years,6236
2021-08,Any Mental Health,Age,35-64 years,6287
2021-08,Any Mental Health,Age,65+ years,4583
2021-08,Any Mental Health,Age,All,5229
2021-08,Any Mental Health,RaceEthnicity,AI/AN,6278
2021-08,Any Mental Health,RaceEthnicity,All,5229
2021-08,Any Mental Health,RaceEthnicity,Asian,3264
2021-08,Any Mental Health,RaceEthnicity,Black,4267
2021-08,Any Mental Health,RaceEthnicity,Hispanic,4262
2021-08,Any Mental Health,RaceEthnicity,Multiple/Other,4285
2021-08,Any Mental Health,RaceEthnicity,NHOPI,3641
2021-08,Any Mental Health,RaceEthnicity,White,6105
2021-08,Any Mental Health,Sex,All,5229
2021-08,Any Mental Health,Sex,Female,5568
2021-08,Any Mental Health,Sex,Male,4924
2021-08,Any Mental Health,Total,All,5229
2021-07,Any Mental Health,Age,12-17 years,7180
2021-07,Any Mental Health,Age,18-34 years,6582
2021-07,Any Mental Health,Age,35-64 years,6616
2021-07,Any Mental Health,Age,65+ years,4706
2021-07,Any Mental Health,Age,All,5521
2021-07,Any Mental Health,RaceEthnicity,AI/AN,7074
2021-07,Any Mental Health,RaceEthnicity,All,5521
2021-07,Any Mental Health,RaceEthnicity,Asian,3488
2021-07,Any Mental Health,RaceEthnicity,Black,4507
2021-07,Any Mental Health,RaceEthnicity,Hispanic,4558
2021-07,Any Mental Health,RaceEthnicity,Multiple/Other,4725
2021-07,Any Mental Health,RaceEthnicity,NHOPI,4032
2021-07,Any Mental Health,RaceEthnicity,White,6393
2021-07,Any Mental Health,Sex,All,5521
2021-07,Any Mental Health,Sex,Female,5847
2021-07,Any Mental Health,Sex,Male,5231
2021-07,Any Mental Health,Total,All,5521
2021-06,Any Mental Health,Age,12-17 years,8220
2021-06,Any Mental Health,Age,18-34 years,7060
2021-06,Any Mental Health,Age,35-64 years,6952
2021-06,Any Mental Health,Age,65+ years,4811
2021-06,Any Mental Health,Age,All,5855
2021-06,Any Mental Health,RaceEthnicity,AI/AN,6964
2021-06,Any Mental Health,RaceEthnicity,All,5855
2021-06,Any Mental Health,RaceEthnicity,Asian,3777
2021-06,Any Mental Health,RaceEthnicity,Black,4833
2021-06,Any Mental Health,RaceEthnicity,Hispanic,4973
2021-06,Any Mental Health,RaceEthnicity,Multiple/Other,5144
2021-06,Any Mental Health,RaceEthnicity,NHOPI,3984
2021-06,Any Mental Health,RaceEthnicity,White,6696
2021-06,Any Mental Health,Sex,All,5855
2021-06,Any Mental Health,Sex,Female,6207
2021-06,Any Mental Health,Sex,Male,5547
2021-06,Any Mental Health,Total,All,5855
2021-05,Any Mental Health,Age,12-17 years,9716
2021-05,Any Mental Health,Age,18-34 years,7307
2021-05,Any Mental Health,Age,35-64 years,7070
2021-05,Any Mental Health,Age,65+ years,4877
2021-05,Any Mental Health,Age,All,6069
2021-05,Any Mental Health,RaceEthnicity,AI/AN,7346
2021-05,Any Mental Health,RaceEthnicity,All,6069
2021-05,Any Mental Health,RaceEthnicity,Asian,3804
2021-05,Any Mental Health,RaceEthnicity,Black,4991
2021-05,Any Mental Health,RaceEthnicity,Hispanic,5205
2021-05,Any Mental Health,RaceEthnicity,Multiple/Other,5303
2021-05,Any Mental Health,RaceEthnicity,NHOPI,4421
2021-05,Any Mental Health,RaceEthnicity,White,6914
2021-05,Any Mental Health,Sex,All,6069
2021-05,Any Mental Health,Sex,Female,6442
2021-05,Any Mental Health,Sex,Male,5741
2021-05,Any Mental Health,Total,All,6069
2021-04,Any Mental Health,Age,12-17 years,9894
2021-04,Any Mental Health,Age,18-34 years,7341
2021-04,Any Mental Health,Age,35-64 years,7124
2021-04,Any Mental Health,Age,65+ years,4940
2021-04,Any Mental Health,Age,All,6194
2021-04,Any Mental Health,RaceEthnicity,AI/AN,7521
2021-04,Any Mental Health,RaceEthnicity,All,6194
2021-04,Any Mental Health,RaceEthnicity,Asian,3969
2021-04,Any Mental Health,RaceEthnicity,Black,5107
2021-04,Any Mental Health,RaceEthnicity,Hispanic,5257
2021-04,Any Mental Health,RaceEthnicity,Multiple/Other,5304
2021-04,Any Mental Health,RaceEthnicity,NHOPI,4302
2021-04,Any Mental Health,RaceEthnicity,White,7078
2021-04,Any Mental Health,Sex,All,6194
2021-04,Any Mental Health,Sex,Female,6548
2021-04,Any Mental Health,Sex,Male,5894
2021-04,Any Mental Health,Total,All,6194
2021-03,Any Mental Health,Age,12-17 years,11114
2021-03,Any Mental Health,Age,18-34 years,7851
2021-03,Any Mental Health,Age,35-64 years,7612
2021-03,Any Mental Health,Age,65+ years,5229
2021-03,Any Mental Health,Age,All,6678
2021-03,Any Mental Health,RaceEthnicity,AI/AN,8184
2021-03,Any Mental Health,RaceEthnicity,All,6678
2021-03,Any Mental Health,RaceEthnicity,Asian,4340
2021-03,Any Mental Health,RaceEthnicity,Black,5534
2021-03,Any Mental Health,RaceEthnicity,Hispanic,5813
2021-03,Any Mental Health,RaceEthnicity,Multiple/Other,5619
2021-03,Any Mental Health,RaceEthnicity,NHOPI,5079
2021-03,Any Mental Health,RaceEthnicity,White,7590
2021-03,Any Mental Health,Sex,All,6678
2021-03,Any Mental Health,Sex,Female,7064
2021-03,Any Mental Health,Sex,Male,6363
2021-03,Any Mental Health,Total,All,6678
2021-02,Any Mental Health,Age,12-17 years,11789
2021-02,Any Mental Health,Age,18-34 years,8141
2021-02,Any Mental Health,Age,35-64 years,7779
2021-02,Any Mental Health,Age,65+ years,5303
2021-02,Any Mental Health,Age,All,6919
2021-02,Any Mental Health,RaceEthnicity,AI/AN,8458
2021-02,Any Mental Health,RaceEthnicity,All,6919
2021-02,Any Mental Health,RaceEthnicity,Asian,4423
2021-02,Any Mental Health,RaceEthnicity,Black,5835
2021-02,Any Mental Health,RaceEthnicity,Hispanic,6142
2021-02,Any Mental Health,RaceEthnicity,Multiple/Other,5688
2021-02,Any Mental Health,RaceEthnicity,NHOPI,5729
2021-02,Any Mental Health,RaceEthnicity,White,7813
2021-02,Any Mental Health,Sex,All,6919
2021-02,Any Mental Health,Sex,Female,7285
2021-02,Any Mental Health,Sex,Male,6605
2021-02,Any Mental Health,Total,All,6919
2021-01,Any Mental Health,Age,12-17 years,10970
2021-01,Any Mental Health,Age,18-34 years,7754
2021-01,Any Mental Health,Age,35-64 years,7615
2021-01,Any Mental Health,Age,65+ years,5269
2021-01,Any Mental Health,Age,All,6733
2021-01,Any Mental Health,RaceEthnicity,AI/AN,8544
2021-01,Any Mental Health,RaceEthnicity,All,6733
2021-01,Any Mental Health,RaceEthnicity,Asian,4562
2021-01,Any Mental Health,RaceEthnicity,Black,5600
2021-01,Any Mental Health,RaceEthnicity,Hispanic,6122
2021-01,Any Mental Health,RaceEthnicity,Multiple/Other,5546
2021-01,Any Mental Health,RaceEthnicity,NHOPI,5042
2021-01,Any Mental Health,RaceEthnicity,White,7679
2021-01,Any Mental Health,Sex,All,6733
2021-01,Any Mental Health,Sex,Female,7055
2021-01,Any Mental Health,Sex,Male,6451
2021-01,Any Mental Health,Total,All,6733
2020-12,Any Mental Health,Age,12-17 years,10444
2020-12,Any Mental Health,Age,18-34 years,7588
2020-12,Any Mental Health,Age,35-64 years,7417
2020-12,Any Mental Health,Age,65+ years,5158
2020-12,Any Mental Health,Age,All,6554
2020-12,Any Mental Health,RaceEthnicity,AI/AN,8482
2020-12,Any Mental Health,RaceEthnicity,All,6554
2020-12,Any Mental Health,RaceEthnicity,Asian,4274
2020-12,Any Mental Health,RaceEthnicity,Black,5576
2020-12,Any Mental Health,RaceEthnicity,Hispanic,5897
2020-12,Any Mental Health,RaceEthnicity,Multiple/Other,5443
2020-12,Any Mental Health,RaceEthnicity,NHOPI,5180
2020-12,Any Mental Health,RaceEthnicity,White,7469
2020-12,Any Mental Health,Sex,All,6554
2020-12,Any Mental Health,Sex,Female,6873
2020-12,Any Mental Health,Sex,Male,6255
2020-12,Any Mental Health,Total,All,6554
2020-11,Any Mental Health,Age,12-17 years,10467
2020-11,Any Mental Health,Age,18-34 years,7528
2020-11,Any Mental Health,Age,35-64 years,7516
2020-11,Any Mental Health,Age,65+ years,5291
2020-11,Any Mental Health,Age,All,6615
2020-11,Any Mental Health,RaceEthnicity,AI/AN,7916
2020-11,Any Mental Health,RaceEthnicity,All,6615
2020-11,Any Mental Health,RaceEthnicity,Asian,4388
2020-11,Any Mental Health,RaceEthnicity,Black,5598
2020-11,Any Mental Health,RaceEthnicity,Hispanic,5844
2020-11,Any Mental Health,RaceEthnicity,Multiple/Other,5580
2020-11,Any Mental Health,RaceEthnicity,NHOPI,4989
2020-11,Any Mental Health,RaceEthnicity,White,7587
2020-11,Any Mental Health,Sex,All,6615
2020-11,Any Mental Health,Sex,Female,6994
2020-11,Any Mental Health,Sex,Male,6240
2020-11,Any Mental Health,Total,All,6615
2020-10,Any Mental Health,Age,12-17 years,10354
2020-10,Any Mental Health,Age,18-34 years,7925
2020-10,Any Mental Health,Age,35-64 years,7995
2020-10,Any Mental Health,Age,65+ years,5527
2020-10,Any Mental Health,Age,All,6963
2020-10,Any Mental Health,RaceEthnicity,AI/AN,8287
2020-10,Any Mental Health,RaceEthnicity,All,6963
2020-10,Any Mental Health,RaceEthnicity,Asian,4744
2020-10,Any Mental Health,RaceEthnicity,Black,5928
2020-10,Any Mental Health,RaceEthnicity,Hispanic,6152
2020-10,Any Mental Health,RaceEthnicity,Multiple/Other,5755
2020-10,Any Mental Health,RaceEthnicity,NHOPI,5307
2020-10,Any Mental Health,RaceEthnicity,White,8036
2020-10,Any Mental Health,Sex,All,6963
2020-10,Any Mental Health,Sex,Female,7455
2020-10,Any Mental Health,Sex,Male,6466
2020-10,Any Mental Health,Total,All,6963
2020-09,Any Mental Health,Age,12-17 years,10035
2020-09,Any Mental Health,Age,18-34 years,8264
2020-09,Any Mental Health,Age,35-64 years,8409
2020-09,Any Mental Health,Age,65+ years,5759
2020-09,Any Mental Health,Age,All,7246
2020-09,Any Mental Health,RaceEthnicity,AI/AN,8150
2020-09,Any Mental Health,RaceEthnicity,All,7246
2020-09,Any Mental Health,RaceEthnicity,Asian,4925
2020-09,Any Mental Health,RaceEthnicity,Black,6204
2020-09,Any Mental Health,RaceEthnicity,Hispanic,6492
2020-09,Any Mental Health,RaceEthnicity,Multiple/Other,5930
2020-09,Any Mental Health,RaceEthnicity,NHOPI,5736
2020-09,Any Mental Health,RaceEthnicity,White,8354
2020-09,Any Mental Health,Sex,All,7246
2020-09,Any Mental Health,Sex,Female,7775
2020-09,Any Mental Health,Sex,Male,6713
2020-09,Any Mental Health,Total,All,7246
2020-08,Any Mental Health,Age,12-17 years,9105
2020-08,Any Mental Health,Age,18-34 years,8243
2020-08,Any Mental Health,Age,35-64 years,8393
2020-08,Any Mental Health,Age,65+ years,5836
2020-08,Any Mental Health,Age,All,7235
2020-08,Any Mental Health,RaceEthnicity,AI/AN,8051
2020-08,Any Mental Health,RaceEthnicity,All,7235
2020-08,Any Mental Health,RaceEthnicity,Asian,4692
2020-08,Any Mental Health,RaceEthnicity,Black,6249
2020-08,Any Mental Health,RaceEthnicity,Hispanic,6391
2020-08,Any Mental Health,RaceEthnicity,Multiple/Other,5860
2020-08,Any Mental Health,RaceEthnicity,NHOPI,5360
2020-08,Any Mental Health,RaceEthnicity,White,8330
2020-08,Any Mental Health,Sex,All,7235
2020-08,Any Mental Health,Sex,Female,7767
2020-08,Any Mental Health,Sex,Male,6698
2020-08,Any Mental Health,Total,All,7235
2020-07,Any Mental Health,Age,12-17 years,8656
2020-07,Any Mental Health,Age,18-34 years,8016
2020-07,Any Mental Health,Age,35-64 years,8163
2020-07,Any Mental Health,Age,65+ years,5709
2020-07,Any Mental Health,Age,All,7065
2020-07,Any Mental Health,RaceEthnicity,AI/AN,7825
2020-07,Any Mental Health,RaceEthnicity,All,7065
2020-07,Any Mental Health,RaceEthnicity,Asian,4586
2020-07,Any Mental Health,RaceEthnicity,Black,6073
2020-07,Any Mental Health,RaceEthnicity,Hispanic,6016
2020-07,Any Mental Health,RaceEthnicity,Multiple/Other,5695
2020-07,Any Mental Health,RaceEthnicity,NHOPI,5000
2020-07,Any Mental Health,RaceEthnicity,White,8195
2020-07,Any Mental Health,Sex,All,7065
2020-07,Any Mental Health,Sex,Female,7583
2020-07,Any Mental Health,Sex,Male,6541
2020-07,Any Mental Health,Total,All,7065
2020-06,Any Mental Health,Age,12-17 years,9100
2020-06,Any Mental Health,Age,18-34 years,8306
2020-06,Any Mental Health,Age,35-64 years,8452
2020-06,Any Mental Health,Age,65+ years,5757
2020-06,Any Mental Health,Age,All,7279
2020-06,Any Mental Health,RaceEthnicity,AI/AN,8204
2020-06,Any Mental Health,RaceEthnicity,All,7279
2020-06,Any Mental Health,RaceEthnicity,Asian,4712
2020-06,Any Mental Health,RaceEthnicity,Black,6232
2020-06,Any Mental Health,RaceEthnicity,Hispanic,6224
2020-06,Any Mental Health,RaceEthnicity,Multiple/Other,5994
2020-06,Any Mental Health,RaceEthnicity,NHOPI,5157
2020-06,Any Mental Health,RaceEthnicity,White,8307
2020-06,Any Mental Health,Sex,All,7279
2020-06,Any Mental Health,Sex,Female,7798
2020-06,Any Mental Health,Sex,Male,6763
2020-06,Any Mental Health,Total,All,7279
2020-05,Any Mental Health,Age,12-17 years,10736
2020-05,Any Mental Health,Age,18-34 years,9122
2020-05,Any Mental Health,Age,35-64 years,8989
2020-05,Any Mental Health,Age,65+ years,5918
2020-05,Any Mental Health,Age,All,7806
2020-05,Any Mental Health,RaceEthnicity,AI/AN,8456
2020-05,Any Mental Health,RaceEthnicity,All,7806
2020-05,Any Mental Health,RaceEthnicity,Asian,4747
2020-05,Any Mental Health,RaceEthnicity,Black,6866
2020-05,Any Mental Health,RaceEthnicity,Hispanic,6830
2020-05,Any Mental Health,RaceEthnicity,Multiple/Other,6341
2020-05,Any Mental Health,RaceEthnicity,NHOPI,5565
2020-05,Any Mental Health,RaceEthnicity,White,8703
2020-05,Any Mental Health,Sex,All,7806
2020-05,Any Mental Health,Sex,Female,8312
2020-05,Any Mental Health,Sex,Male,7308
2020-05,Any Mental Health,Total,All,7806
2020-04,Any Mental Health,Age,12-17 years,11967
2020-04,Any Mental Health,Age,18-34 years,9299
2020-04,Any Mental Health,Age,35-64 years,8967
2020-04,Any Mental Health,Age,65+ years,5823
2020-04,Any Mental Health,Age,All,7899
2020-04,Any Mental Health,RaceEthnicity,AI/AN,8908
2020-04,Any Mental Health,RaceEthnicity,All,7899
2020-04,Any Mental Health,RaceEthnicity,Asian,4695
2020-04,Any Mental Health,RaceEthnicity,Black,7071
2020-04,Any Mental Health,RaceEthnicity,Hispanic,6775
2020-04,Any Mental Health,RaceEthnicity,Multiple/Other,6323
2020-04,Any Mental Health,RaceEthnicity,NHOPI,5468
2020-04,Any Mental Health,RaceEthnicity,White,8924
2020-04,Any Mental Health,Sex,All,7899
2020-04,Any Mental Health,Sex,Female,8323
2020-04,Any Mental Health,Sex,Male,7494
2020-04,Any Mental Health,Total,All,7899
2020-03,Any Mental Health,Age,12-17 years,9067
2020-03,Any Mental Health,Age,18-34 years,7190
2020-03,Any Mental Health,Age,35-64 years,7532
2020-03,Any Mental Health,Age,65+ years,5299
2020-03,Any Mental Health,Age,All,6291
2020-03,Any Mental Health,RaceEthnicity,AI/AN,6753
2020-03,Any Mental Health,RaceEthnicity,All,6291
2020-03,Any Mental Health,RaceEthnicity,Asian,3712
2020-03,Any Mental Health,RaceEthnicity,Black,5159
2020-03,Any Mental Health,RaceEthnicity,Hispanic,5017
2020-03,Any Mental Health,RaceEthnicity,Multiple/Other,4864
2020-03,Any Mental Health,RaceEthnicity,NHOPI,3841
2020-03,Any Mental Health,RaceEthnicity,White,7522
2020-03,Any Mental Health,Sex,All,6291
2020-03,Any Mental Health,Sex,Female,6602
2020-03,Any Mental Health,Sex,Male,6000
2020-03,Any Mental Health,Total,All,6291
2020-02,Any Mental Health,Age,12-17 years,8308
2020-02,Any Mental Health,Age,18-34 years,7046
2020-02,Any Mental Health,Age,35-64 years,7467
2020-02,Any Mental Health,Age,65+ years,5276
2020-02,Any Mental Health,Age,All,6012
2020-02,Any Mental Health,RaceEthnicity,AI/AN,6519
2020-02,Any Mental Health,RaceEthnicity,All,6012
2020-02,Any Mental Health,RaceEthnicity,Asian,3540
2020-02,Any Mental Health,RaceEthnicity,Black,4845
2020-02,Any Mental Health,RaceEthnicity,Hispanic,4728
2020-02,Any Mental Health,RaceEthnicity,Multiple/Other,4637
2020-02,Any Mental Health,RaceEthnicity,NHOPI,3626
2020-02,Any Mental Health,RaceEthnicity,White,7179
2020-02,Any Mental Health,Sex,All,6012
2020-02,Any Mental Health,Sex,Female,6322
2020-02,Any Mental Health,Sex,Male,5701
2020-02,Any Mental Health,Total,All,6012
2020-01,Any Mental Health,Age,12-17 years,8066
2020-01,Any Mental Health,Age,18-34 years,6829
2020-01,Any Mental Health,Age,35-64 years,7369
2020-01,Any Mental Health,Age,65+ years,5087
2020-01,Any Mental Health,Age,All,5866
2020-01,Any Mental Health,RaceEthnicity,AI/AN,6180
2020-01,Any Mental Health,RaceEthnicity,All,5866
2020-01,Any Mental Health,RaceEthnicity,Asian,3365
2020-01,Any Mental Health,RaceEthnicity,Black,4753
2020-01,Any Mental Health,RaceEthnicity,Hispanic,4549
2020-01,Any Mental Health,RaceEthnicity,Multiple/Other,4520
2020-01,Any Mental Health,RaceEthnicity,NHOPI,3466
2020-01,Any Mental Health,RaceEthnicity,White,7096
2020-01,Any Mental Health,Sex,All,5866
2020-01,Any Mental Health,Sex,Female,6124
2020-01,Any Mental Health,Sex,Male,5603
2020-01,Any Mental Health,Total,All,5866
2019-12,Any Mental Health,Age,12-17 years,7471
2019-12,Any Mental Health,Age,18-34 years,6644
2019-12,Any Mental Health,Age,35-64 years,7230
2019-12,Any Mental Health,Age,65+ years,4917
2019-12,Any Mental Health,Age,All,5581
2019-12,Any Mental Health,RaceEthnicity,AI/AN,6056
2019-12,Any Mental Health,RaceEthnicity,All,5581
2019-12,Any Mental Health,RaceEthnicity,Asian,3267
2019-12,Any Mental Health,RaceEthnicity,Black,4510
2019-12,Any Mental Health,RaceEthnicity,Hispanic,4538
2019-12,Any Mental Health,RaceEthnicity,Multiple/Other,4176
2019-12,Any Mental Health,RaceEthnicity,NHOPI,3427
2019-12,Any Mental Health,RaceEthnicity,White,6702
2019-12,Any Mental Health,Sex,All,5581
2019-12,Any Mental Health,Sex,Female,5847
2019-12,Any Mental Health,Sex,Male,5339
2019-12,Any Mental Health,Total,All,5581
2019-11,Any Mental Health,Age,12-17 years,8200
2019-11,Any Mental Health,Age,18-34 years,7050
2019-11,Any Mental Health,Age,35-64 years,7440
2019-11,Any Mental Health,Age,65+ years,4938
2019-11,Any Mental Health,Age,All,5883
2019-11,Any Mental Health,RaceEthnicity,AI/AN,6655
2019-11,Any Mental Health,RaceEthnicity,All,5883
2019-11,Any Mental Health,RaceEthnicity,Asian,3625
2019-11,Any Mental Health,RaceEthnicity,Black,4815
2019-11,Any Mental Health,RaceEthnicity,Hispanic,4804
2019-11,Any Mental Health,RaceEthnicity,Multiple/Other,4551
2019-11,Any Mental Health,RaceEthnicity,NHOPI,3897
2019-11,Any Mental Health,RaceEthnicity,White,6936
2019-11,Any Mental Health,Sex,All,5883
2019-11,Any Mental Health,Sex,Female,6210
2019-11,Any Mental Health,Sex,Male,5580
2019-11,Any Mental Health,Total,All,5883
2019-10,Any Mental Health,Age,12-17 years,8356
2019-10,Any Mental Health,Age,18-34 years,7151
2019-10,Any Mental Health,Age,35-64 years,7480
2019-10,Any Mental Health,Age,65+ years,5038
2019-10,Any Mental Health,Age,All,6111
2019-10,Any Mental Health,RaceEthnicity,AI/AN,6642
2019-10,Any Mental Health,RaceEthnicity,All,6111
2019-10,Any Mental Health,RaceEthnicity,Asian,3736
2019-10,Any Mental Health,RaceEthnicity,Black,4949
2019-10,Any Mental Health,RaceEthnicity,Hispanic,5078
2019-10,Any Mental Health,RaceEthnicity,Multiple/Other,4949
2019-10,Any Mental Health,RaceEthnicity,NHOPI,4239
2019-10,Any Mental Health,RaceEthnicity,White,7227
2019-10,Any Mental Health,Sex,All,6111
